time,omega,i_a,i_b
0.0,0.0,0.0,0.0
0.0001,-0.007122634453938106,0.47000000000000003,0.17
0.0002,-0.014242801176786663,0.9393145083166914,0.33410204081632655
0.0003,-0.021351489967141403,1.4079458927705122,0.4925107455226989
0.0004,-0.028440179206288288,1.8758964432779335,0.6454236380249726
0.0005,-0.035500812731364094,2.343168372265394,0.7930313893588001
0.0006,-0.042525777737727095,2.809763815416942,0.9355180554422703
0.0007,-0.04950788366643958,3.2756848327088304,1.0730613065799874
0.0008,-0.05644034203459059,3.7409334096890245,1.2058326490047633
0.0009,-0.06331674716794342,4.205511458963923,1.3339976387331696
0.001,-0.07013105779707984,4.669420821858481,1.4577160880016107
0.0011,-0.07687757947983431,5.132663270219523,1.5771422645403304
0.0012,-0.08355094781436788,5.595240508335254,1.692425083933829
0.0013,-0.09014611240872658,6.057154174946942,1.8037082953075534
0.0014,-0.09665832157416314,6.518405845331409,1.9111306605723934
0.0015,-0.10308310771087768,6.9789970334354,2.014826127450494
0.0016,-0.10941627335615385,7.438929194045091,2.11492399649813
0.0017,-0.11565387786613324,7.898203724975995,2.2115490823339092
0.0018,-0.12179222470368634,8.356821969270326,2.304821869273345
0.0019,-0.12782784930600308,8.814785217390495,2.3948586615638616
0.002,-0.13375750750664292,9.272094709398907,2.481771728407564
0.0021,-0.1395781644878557,9.728751637115513,2.5656694439526078
0.0022,-0.14528698424001055,10.184757146245808,2.6466564224277214
0.0023,-0.15088131950595413,10.640112338473,2.724833648588392
0.0024,-0.15635870218906284,11.094818273509064,2.8002986036373665
0.0025,-0.16171683420465663,11.548875971100244,2.8731453867764785
0.0026,-0.16695357875530858,12.00228641298333,2.9434648325413764
0.0027,-0.17206695201141373,12.455050544789762,3.011344624065451
0.0028,-0.177055115179176,12.907169277895175,3.076869402414201
0.0029,-0.1819163669389337,13.358643491212609,3.1401208721263614
0.003,-0.18664913623747376,13.809474032928025,3.2011779030934058
0.0031,-0.19125197541868413,14.259661722177247,3.2601166289044508
0.0032,-0.1957235536775636,14.709207350663819,3.317010541779194
0.0033,-0.20006265082324987,15.158111684217573,3.371930584207263
0.0034,-0.20426815133734122,15.606375464294025,3.4249452374082354
0.0035,-0.20833903871437653,16.053999409414967,3.4761206067226436
0.0036,-0.21227439007190127,16.500984216550798,3.5255205040404296
0.0037,-0.21607337101808863,16.94733056244542,3.5732065273696394
0.0038,-0.21973523076540136,17.393039104884558,3.61923813764457
0.0039,-0.22325929747927625,17.838110483908643,3.6636727328691463
0.004,-0.2266449738512873,18.282545322971377,3.7065657196879718
0.0041,-0.22989173288669887,18.726344230045292,3.7479705824743075
0.0042,-0.23299911389675562,19.16950779867567,3.7879389500211174
0.0043,-0.2359667186864722,19.612036608984198,3.826520659918344
0.0044,-0.23879420792908665,20.053931228623856,3.863763820696687
0.0045,-0.24148129771872284,20.49519221368654,3.8997148718153736
0.0046,-0.24402775629317416,20.935820109564922,3.9344186415687177
0.0047,-0.24643340091907162,21.375815451770105,3.9679184029836807
0.0048,-0.24869809493203557,21.815178766706623,4.000255927778125
0.0049,-0.2508217449247318,22.253910572406298,4.031471538447047
0.005,-0.25280429807606153,22.692011379222546,4.061604158541741
0.0051,-0.2546457396150093,23.12948169048659,4.090691361204578
0.0052,-0.2563460904129559,23.566322003127137,4.118769416019929
0.0053,-0.2579054046985338,24.00253280825498,4.145873334239646
0.0054,-0.2593237678893617,24.43811459171397,4.172036912439495
0.0055,-0.2606012945352433,24.87306783459979,4.197292774660982
0.0056,-0.26173812636765265,25.307393013747962,4.2216724130911105
0.0057,-0.26273443045055567,25.741090602192358,4.245206227330807
0.0058,-0.2635903974278359,26.174161069595637,4.267923562300963
0.0059,-0.2643062398628008,26.606604882652842,4.289852744833379
0.006,-0.26488219066544394,27.038422505469402,4.311021118992221
0.0061,-0.26531850160333104,27.46961439991478,4.331455080170041
0.0062,-0.2656154418921587,27.9001810259529,4.351180108000877
0.0063,-0.2657732968622119,28.330122841950548,4.3702207981314585
0.0064,-0.2657923666971129,28.759440304964745,4.388600892890163
0.0065,-0.2656729652414144,29.18813387101023,4.406343310891933
0.0066,-0.2654154188737445,29.616203995308037,4.423470175616091
0.0067,-0.26502006544235684,30.043651132516132,4.4400028429926754
0.0068,-0.2644872532600819,30.470475736943055,4.455961928031705
0.0069,-0.2638173401558069,30.896678262745485,4.471367330528564
0.007,-0.26301069257974435,31.32225916411057,4.486238259877573
0.0071,-0.2620676847598704,31.74721889542384,4.5005932590246776
0.0072,-0.2609886979070322,32.171557911423555,4.514450227589127
0.0073,-0.2597741194663378,32.59527666734218,4.527826444182974
0.0074,-0.2584243424125485,33.01837561903574,4.540738587956218
0.0075,-0.2569397645872986,33.44085522310175,4.5532027593944715
0.0076,-0.255320788076065,33.86271593698642,4.565234500395071
0.0077,-0.2535678186229048,34.28395821908166,4.576848813646671
0.0078,-0.2516812650810689,34.70458252881263,4.5880601813364805
0.0079,-0.24966153889768686,35.124589326716276,4.59888258320848
0.008,-0.24750905363079984,35.54397907451152,4.6093295139951245
0.0081,-0.24522422449709994,35.9627522351615,4.619414000244273
0.0082,-0.24280746794880748,36.3809092729285,4.629148616562329
0.0083,-0.240259201278192,36.79845065342187,4.63854550129384
0.0084,-0.23757984224831122,37.21537684363956,4.647616371657115
0.0085,-0.23476980874860884,37.63168831200357,4.656372538354725
