time,omega,i_a,i_b
0.0,0.0,0.0,0.0
0.0001,-0.007122634453938106,0.47000000000000003,0.47000000000000003
0.0002,-0.014234553018036097,0.9393157582873233,0.9236938775510205
0.0003,-0.021310845069466705,1.4079520487581472,1.3616473552686381
0.0004,-0.028327950486656248,1.8759134135103266,1.7844065286572772
0.0005,-0.03526359549509298,2.3432041496223985,2.1924985470508003
0.0006,-0.0420967313989751,2.80982829919116,2.5864322709286296
0.0007,-0.048807476074898035,3.275789642240795,2.966698906427024
0.0008,-0.055377058108446425,3.741091692153981,3.333772617836699
0.0009,-0.06178776345914759,4.205737693309567,3.688111118850528
0.001,-0.0680228845437443,4.669730620642552,4.0301562432985705
0.0011,-0.07406667163214223,5.133073180870491,4.360334496082089
0.0012,-0.07990428645467176,5.59576781515627,4.679057584993527
0.0013,-0.08552175792346758,6.0578167030007455,4.986722934085588
0.0014,-0.09090593987480639,6.519221767180106,5.283714179229557
0.0015,-0.09604447074315108,6.979984679562295,5.570401646480777
0.0016,-0.10092573508142481,7.440106867654474,5.84714281384777
0.0017,-0.10553882684568107,7.899589521749557,6.114282757040807
0.0018,-0.10987351436584536,8.358433602554406,6.372154579755718
0.0019,-0.11392020692758216,8.816639849195434,6.621079829029499
0.002,-0.11766992289358803,9.274208787509346,6.861368896185619
0.0021,-0.12111425929573166,9.73114073853752,7.093321403868975
0.0022,-0.1242453628324557,10.187435827152335,7.317226579653113
0.0023,-0.12705590220872745,10.643093990752533,7.5333636166855555
0.0024,-0.12953904175857853,11.09811498797273,7.742002021820955
0.0025,-0.1316884162929114,11.552498407359293,7.9434019516761465
0.0026,-0.1334981071177766,12.006243675971309,8.137814537026157
0.0027,-0.13496261917074284,12.459350067871167,8.325482195945659
0.0028,-0.13607685922529536,12.91181671247448,8.50663893608632
0.0029,-0.13683611511541227,13.363642602733735,8.681510646466998
0.003,-0.13723603593458486,13.814826603134279,8.850315379140593
0.0031,-0.13727261316557268,14.26536745748493,9.013263621088777
0.0032,-0.1369421626991189,14.715263796488875,9.170558556683655
0.0033,-0.13624130770170145,15.164514145083464,9.32239632104361
0.0034,-0.13516696229416328,15.61311692954011,9.46896624459924
0.0035,-0.1337163160047547,16.061070484317895,9.610451089174369
0.0036,-0.13188681896173507,16.508373058666464,9.747027275876482
0.0037,-0.1296761677922237,16.955022822975643,9.878865105080767
